"File","Path","Line","Kind","Name"
"GRM_AltManagement.lua","C:\Program Files (x86)\World of Warcraft\_retail_\Interface\AddOns\Guild_Roster_Manager\GRM_AltManagement.lua","190","assigned function","GRM.IsMain"
"GRM_AltManagement.lua","C:\Program Files (x86)\World of Warcraft\_retail_\Interface\AddOns\Guild_Roster_Manager\GRM_AltManagement.lua","205","assigned function","GRM.IsFormerMemberMain"
"GRM_AltManagement.lua","C:\Program Files (x86)\World of Warcraft\_retail_\Interface\AddOns\Guild_Roster_Manager\GRM_AltManagement.lua","215","assigned function","GRM.IsFormerMemberAnAlt"
"GRM_AltManagement.lua","C:\Program Files (x86)\World of Warcraft\_retail_\Interface\AddOns\Guild_Roster_Manager\GRM_AltManagement.lua","234","assigned function","GRM.GetAltGroup"
"GRM_AltManagement.lua","C:\Program Files (x86)\World of Warcraft\_retail_\Interface\AddOns\Guild_Roster_Manager\GRM_AltManagement.lua","246","assigned function","GRM.CreateAltGroup"
"GRM_AltManagement.lua","C:\Program Files (x86)\World of Warcraft\_retail_\Interface\AddOns\Guild_Roster_Manager\GRM_AltManagement.lua","301","assigned function","GRM.AddAlt"
"GRM_AltManagement.lua","C:\Program Files (x86)\World of Warcraft\_retail_\Interface\AddOns\Guild_Roster_Manager\GRM_AltManagement.lua","439","assigned function","GRM.RemoveAltGroup"
"GRM_AltManagement.lua","C:\Program Files (x86)\World of Warcraft\_retail_\Interface\AddOns\Guild_Roster_Manager\GRM_AltManagement.lua","462","assigned function","GRM.IsPlayerInAltGroup"
"GRM_AltManagement.lua","C:\Program Files (x86)\World of Warcraft\_retail_\Interface\AddOns\Guild_Roster_Manager\GRM_AltManagement.lua","480","assigned function","GRM.CreateNewAltGroupID"
"GRM_AltManagement.lua","C:\Program Files (x86)\World of Warcraft\_retail_\Interface\AddOns\Guild_Roster_Manager\GRM_AltManagement.lua","498","assigned function","GRM.GetNumAltGroups"
"GRM_AltManagement.lua","C:\Program Files (x86)\World of Warcraft\_retail_\Interface\AddOns\Guild_Roster_Manager\GRM_AltManagement.lua","505","assigned function","GRM.GetAltNamesList"
"GRM_AltManagement.lua","C:\Program Files (x86)\World of Warcraft\_retail_\Interface\AddOns\Guild_Roster_Manager\GRM_AltManagement.lua","523","assigned function","GRM.GetListOfAlts"
"GRM_AltManagement.lua","C:\Program Files (x86)\World of Warcraft\_retail_\Interface\AddOns\Guild_Roster_Manager\GRM_AltManagement.lua","555","assigned function","GRM.GetListOfAltsLowerRankThanMyself"
"GRM_AltManagement.lua","C:\Program Files (x86)\World of Warcraft\_retail_\Interface\AddOns\Guild_Roster_Manager\GRM_AltManagement.lua","579","assigned function","GRM.PlayerIsAnAlt"
"GRM_AltManagement.lua","C:\Program Files (x86)\World of Warcraft\_retail_\Interface\AddOns\Guild_Roster_Manager\GRM_AltManagement.lua","594","assigned function","GRM.PlayerHasAlts"
"GRM_AltManagement.lua","C:\Program Files (x86)\World of Warcraft\_retail_\Interface\AddOns\Guild_Roster_Manager\GRM_AltManagement.lua","608","assigned function","GRM.LeftPlayerHasAlts"
"GRM_AltManagement.lua","C:\Program Files (x86)\World of Warcraft\_retail_\Interface\AddOns\Guild_Roster_Manager\GRM_AltManagement.lua","621","assigned function","GRM.GetNumAlts"
"GRM_AltManagement.lua","C:\Program Files (x86)\World of Warcraft\_retail_\Interface\AddOns\Guild_Roster_Manager\GRM_AltManagement.lua","635","assigned function","GRM.AddPlayerToAltGroup"
"GRM_AltManagement.lua","C:\Program Files (x86)\World of Warcraft\_retail_\Interface\AddOns\Guild_Roster_Manager\GRM_AltManagement.lua","701","assigned function","GRM.RemovePlayerFromAltGroup"
"GRM_AltManagement.lua","C:\Program Files (x86)\World of Warcraft\_retail_\Interface\AddOns\Guild_Roster_Manager\GRM_AltManagement.lua","779","assigned function","GRM.GetAltGroupTimeStamp"
"GRM_AltManagement.lua","C:\Program Files (x86)\World of Warcraft\_retail_\Interface\AddOns\Guild_Roster_Manager\GRM_AltManagement.lua","792","assigned function","GRM.IsAnyAltActive"
"GRM_AltManagement.lua","C:\Program Files (x86)\World of Warcraft\_retail_\Interface\AddOns\Guild_Roster_Manager\GRM_AltManagement.lua","813","assigned function","GRM.IsAnyAltActiveForRecommendKicks"
"GRM_AltManagement.lua","C:\Program Files (x86)\World of Warcraft\_retail_\Interface\AddOns\Guild_Roster_Manager\GRM_AltManagement.lua","850","assigned function","GRM.AddRejoinToAltGroup"
"GRM_AltManagement.lua","C:\Program Files (x86)\World of Warcraft\_retail_\Interface\AddOns\Guild_Roster_Manager\GRM_AltManagement.lua","880","assigned function","GRM.AddPlayerToOwnAltList"
"GRM_AltManagement.lua","C:\Program Files (x86)\World of Warcraft\_retail_\Interface\AddOns\Guild_Roster_Manager\GRM_AltManagement.lua","944","assigned function","GRM.CheckIfNeedToAddAlt"
